run_id,timestamp,hypothesis,changed_variables,seed,vocab_size,context_length,stride,batch_size,epochs,steps_per_epoch,max_steps,learning_rate,weight_decay,grad_clip,emb_dim,n_heads,n_layers,drop_rate,qkv_bias,ffn_mult,norm_first,norm_eps,activation_name,ffn_dropout_position,attention_impl,tie_embeddings,init_std,final_train_loss,final_val_loss,final_generalization_gap,generalization_gap_delta,train_val_improvement_gap,overfit_score,fit_status,parameter_count,tokens_per_sec,elapsed_sec,device,artifact_dir
1,2026-06-02T18:53:52+00:00,기준선 수립: 현재 하드웨어에 맞춘 작은 GPT 설정으로 train/val gap과 처리량 기준점을 만든다.,"{""activation_name"": ""gelu"", ""attention_impl"": ""manual"", ""batch_size"": 4, ""context_length"": 48, ""drop_rate"": 0.1, ""effective_max_steps"": ""1"", ""emb_dim"": 96, ""epochs"": ""0.025641"", ""eval_batches"": 4, ""ffn_dropout_position"": ""after_output"", ""ffn_mult"": 4, ""grad_clip"": 1.0, ""hypothesis"": ""기준선 수립: 현재 하드웨어에 맞춘 작은 GPT 설정으로 train/val gap과 처리량 기준점을 만든다."", ""init_std"": 0.02, ""learning_rate"": 0.0003, ""min_frequency"": 2, ""n_heads"": 4, ""n_layers"": 2, ""norm_eps"": 1e-05, ""norm_first"": false, ""qkv_bias"": false, ""run_id"": 1, ""seed"": 123, ""stride"": null, ""tie_embeddings"": false, ""train_ratio"": 0.9, ""vocab_size"": 600, ""weight_decay"": 0.01}",123,600,48,,4,0.025641,39,1,0.0003,0.01,1.0,96,4,2,0.1,False,4,False,1e-05,gelu,after_output,manual,False,0.02,6.413617730140686,6.421781539916992,0.008163809776306152,0.0008448362350463867,0.0008448362350463867,0.009853482246398926,underfit_or_too_short,343104,22892.342234238993,0.008387084119021893,cpu,docs/train/runs/run_001_artifacts
2,2026-06-02T19:00:52+00:00,"MPS 기준선 재수립: run 001은 max_steps=1 smoke라 과소학습 신호가 강했으므로, Apple Silicon MPS에 맞춘 중간 크기 기준선으로 validation 개선과 gap 안정성을 다시 측정한다.","{""batch_size"": 8, ""context_length"": 64, ""effective_max_steps"": ""40"", ""emb_dim"": 128, ""epochs"": ""2.666667"", ""learning_rate"": 0.0003, ""n_layers"": 2, ""seed"": 134}",134,600,64,,8,2.666667,15,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,gelu,after_output,manual,False,0.02,5.710260987281799,5.763571500778198,0.053310513496398926,0.06066453456878662,0.06066453456878662,0.17463958263397217,overfit_risk,557824,8252.360871547886,2.4196712081320584,mps,docs/train/runs/run_002_artifacts
3,2026-06-02T19:07:05+00:00,"정규화 강도 단일축 테스트: run 002는 validation loss를 크게 낮췄지만 final_generalization_gap과 overfit_score가 함께 커졌으므로, 같은 seed와 같은 MPS 기준선에서 drop_rate만 0.10에서 0.20으로 올리면 validation 성능을 크게 잃지 않으면서 gap을 줄일 수 있다.","{""drop_rate"": 0.2}",134,600,64,,8,2.666667,15,40,0.0003,0.01,1.0,128,4,2,0.2,False,4,False,1e-05,gelu,after_output,manual,False,0.02,5.722468972206116,5.774217367172241,0.05174839496612549,0.059102416038513184,0.059102416038513184,0.16995322704315186,overfit_risk,557824,30303.168265374887,0.658941000001505,mps,docs/train/runs/run_003_artifacts
4,2026-06-02T19:16:07+00:00,"입출력 임베딩 공유 단일축 테스트: run 002가 현재 best지만 overfit_risk이고, run 003의 dropout 강화는 gap을 아주 조금만 낮췄다. 따라서 run 002 설정을 거의 고정하고 tie_embeddings=True만 적용하면 parameter_count가 줄어 작은 말뭉치에서 외우는 힘이 낮아져 final_generalization_gap과 overfit_score가 개선될 수 있다.","{""tie_embeddings"": true}",134,600,64,,8,2.666667,15,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,gelu,after_output,manual,True,0.02,5.719310164451599,5.755529403686523,0.036219239234924316,0.06860005855560303,0.06860005855560303,0.17341935634613037,overfit_risk,481024,29670.53973536585,0.6729907908011228,mps,docs/train/runs/run_004_artifacts
5,2026-06-02T19:18:21+00:00,weight_decay 단일축 정규화 테스트: run 004는 tie_embeddings=True로 validation loss와 final gap을 개선해 best가 되었지만 overfit_score는 여전히 높다. run 004 설정을 유지하고 weight_decay만 0.01에서 0.05로 올리면 train 쪽 과도한 개선을 누그러뜨려 overfit_score와 train_val_improvement_gap을 낮출 수 있다.,"{""weight_decay"": 0.05}",134,600,64,,8,2.666667,15,40,0.0003,0.05,1.0,128,4,2,0.1,False,4,False,1e-05,gelu,after_output,manual,True,0.02,5.719560503959656,5.755751132965088,0.03619062900543213,0.06857144832611084,0.06857144832611084,0.1733335256576538,overfit_risk,481024,28823.59585510851,0.6927657499909401,mps,docs/train/runs/run_005_artifacts
6,2026-06-02T19:23:28+00:00,"FFN 용량 축소 단일축 테스트: run 004의 tie_embeddings=True 설정은 validation loss와 final gap을 개선했지만 overfit_score는 여전히 높다. weight_decay 강화(run 005)는 거의 효과가 없었으므로, run 004 설정을 유지하고 ffn_mult만 4에서 3으로 줄이면 token별 FFN 암기 용량이 낮아져 validation 성능을 크게 잃지 않으면서 overfit_score와 train_val_improvement_gap이 완화될 수 있다.","{""ffn_mult"": 3}",134,600,64,,8,2.666667,15,40,0.0003,0.01,1.0,128,4,2,0.1,False,3,False,1e-05,gelu,after_output,manual,True,0.02,5.7244322299957275,5.776598215103149,0.052165985107421875,0.05618715286254883,0.05618715286254883,0.16454029083251953,overfit_risk,415232,32748.433765575148,0.6097390837967396,mps,docs/train/runs/run_006_artifacts
7,2026-06-02T19:28:34+00:00,"best 설정 seed 재현성 검증: run 004의 tie_embeddings=True 설정은 현재까지 가장 낮은 final_val_loss와 안정적인 final gap을 보였지만, 아직 seed=134 한 번의 결과다. 구조나 regularization 축을 더 바꾸기 전에 seed만 151로 바꿔도 validation 개선과 gap 완화가 유지되는지 확인한다.","{""seed"": 151}",151,600,64,,8,2.666667,15,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,gelu,after_output,manual,True,0.02,5.707884669303894,5.754852533340454,0.04696786403656006,0.04625129699707031,0.04625129699707031,0.13947045803070068,generalizing,481024,22407.438011280297,0.8911326671950519,mps,docs/train/runs/run_007_artifacts
8,2026-06-02T19:33:17+00:00,"quick_gelu 활성함수 단일축 테스트: tie_embeddings=True 기준선은 seed=151에서 generalizing을 만들었으므로, 같은 설정에서 activation_name만 gelu에서 quick_gelu로 바꾸면 GELU 근사 특성으로 validation 성능을 유지하면서 처리량 또는 overfit_score가 개선될 수 있다.","{""activation_name"": ""quick_gelu""}",151,600,64,,8,2.666667,15,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,after_output,manual,True,0.02,5.707627296447754,5.75455904006958,0.04693174362182617,0.04622364044189453,0.04622364044189453,0.13937902450561523,generalizing,481024,28917.76168247565,0.6905098748393357,mps,docs/train/runs/run_008_artifacts
9,2026-06-02T19:38:28+00:00,"quick_gelu seed 재현성 검증: run 008은 seed=151에서 quick_gelu가 gelu 기준선(run 007)보다 validation loss, overfit_score, 처리량을 모두 조금 개선했다. 같은 quick_gelu + tie_embeddings=True 설정을 seed=134에서도 실행하면 run 004(gelu, seed=134) 대비 generalization gap과 overfit_score가 유지 또는 개선되는지 확인할 수 있다.","{""seed"": 134}",134,600,64,,8,2.666667,15,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,quick_gelu,after_output,manual,True,0.02,5.719071745872498,5.75526762008667,0.03619587421417236,0.0685734748840332,0.0685734748840332,0.17334282398223877,overfit_risk,481024,31262.147735452178,0.6387277089525014,mps,docs/train/runs/run_009_artifacts
10,2026-06-02T19:43:28+00:00,"silu 활성함수 단일축 비교: quick_gelu는 seed=151에서 best를 만들었지만 seed=134에서는 overfit_risk로 돌아갔다. 같은 seed=151, tie_embeddings=True 기준선에서 activation_name만 silu로 바꾸면 부드러운 gate-like 비선형성이 validation 성능과 overfit_score를 quick_gelu 수준으로 유지하거나 더 안정화할 수 있다.","{""activation_name"": ""silu""}",151,600,64,,8,2.666667,15,40,0.0003,0.01,1.0,128,4,2,0.1,False,4,False,1e-05,silu,after_output,manual,True,0.02,5.709047079086304,5.756640195846558,0.047593116760253906,0.04681503772735596,0.04681503772735596,0.14122319221496582,generalizing,481024,32437.239959743027,0.6155887499917299,mps,docs/train/runs/run_010_artifacts
